I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
 	 	 	 	 	 	12156755	Steve Lehman	Digital Ambush	1499310	Golden Gate Jubilee Quartet	Preacher And The Bear
 	 	 	 	 	 	81882102	Mark Guiliana	A Quote Machine	121437780	Octurn	Lhasa
 	 	 	 	 	 	73467980	Maalim Abdi	Natamani uwa [ua]	76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na
 	 	 	 	 	 	366003431	Ravi Shankar	Spring	63419829	Abe Schwartz	Sher Pt.2
 	 	 	 	 	 	95547444	Dan Deacon	Sheathed Wings	1739106	James Chance & The Contortions	Contort Yourself
 	 	 	 	 	 	4655700	Don Cherry	Mahakali	3647677	Harry Partch	The Street
 	 	 	 	 	 	2439463	The Carla Bley Band	Musique Mecanique I	132082546	Car Bomb	Black Blood
 	 	 	 	 	 	7577270	Vincent Dumestre	Una musiqua	78626974	King Oliver	Chattanooga Stomp
 	 	 	 	 	 	 	 	 	12480647	Lightning Bolt	Dracula Mountain
 	 	 	 	 	 	 	 	 	6615567	Bill Frisell	One of These Days
 	 	 	 	 	 	 	 	 	63661146	Tatiana Samouil	Quatuor pour deux violons, alto et violoncelle en ré majeur (CFF 124): Poco lento - Allegro
 	 	 	 	 	 	 	 	 	6374932	Daniel Johnston	I Had Lost My Mind
 	 	 	 	 	 	 	 	 	12254142	Joy Division	Atmosphere (2011 Total Version)
 	 	 	 	 	 	 	 	 	7738509	Georgette plana	La Valse Brune
 	 	 	 	 	 	 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2
