I love; ; ;I like; ; ;I don't like; ; ;I hate; ; ;
ID;artist;name;ID;artist;name;ID;artist;name;ID;artist;name
 ; ; ; ; ; ;80674522;Boban Markovic;Izvorski biseri; ; ; 
 ; ; ; ; ; ;351958571;Sélébéyone;Are You in Peace; ; ; 
 ; ; ; ; ; ;1739106;James Chance & The Contortions;Contort Yourself; ; ; 
 ; ; ; ; ; ;105522282;Glenn Branca;Symphony #3: 2nd Movement (Excerpt); ; ; 
 ; ; ; ; ; ;3647677;Harry Partch;The Street; ; ; 
 ; ; ; ; ; ;7314318;Le Mystère Des Voix Bulgares;Zableyalo Mi Agantze (Album Version); ; ; 
 ; ; ; ; ; ;79088196;Hawk House;My Mind Is The Weapon (Topic 1); ; ; 
 ; ; ; ; ; ;10236728;Austin Peralta;Capricornus; ; ; 
 ; ; ; ; ; ;2439463;The Carla Bley Band;Musique Mecanique I; ; ; 
 ; ; ; ; ; ;67121873;Björk;Crystalline (Matthew Herbert Remix); ; ; 
 ; ; ; ; ; ;7577270;Vincent Dumestre;Una musiqua; ; ; 
 ; ; ; ; ; ;61636056;Panzerballett;Birdland; ; ; 
 ; ; ; ; ; ;2813599;Steps Ahead;Both Sides Of The Coin; ; ; 
 ; ; ; ; ; ;78626974;King Oliver;Chattanooga Stomp; ; ; 
 ; ; ; ; ; ;125953469;Slint;Breadcrumb Trail; ; ; 
 ; ; ; ; ; ;6615567;Bill Frisell;One of These Days; ; ; 
 ; ; ; ; ; ;9056672;The Adolescents;Kids of the Blackhole; ; ; 
 ; ; ; ; ; ;7738509;Georgette plana;La Valse Brune; ; ; 
