I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
132250858	Black Flower	Bones	16676202	The Bongolian	Feel It	660844	Nickelback	Far Away	476796912	Palatine	Baton rouge
356150951	Yazz Ahmed	Jamil Jamal	104731442	Newen Afrobeat	Santiago	532289	Good Charlotte	S.O.S.	 	 	 
3455575	Erik Truffaz	Arroyo	62640421	DJ Cam Quartet	Magic Wand	1183598	Souad Massi	Tant Pis Pour Moi	 	 	 
3455580	Erik Truffaz	Betty	474535362	Jessica Lauren	Kofi Nomad	906244	Souad Massi	Deb (Album Version)	 	 	 
16676203	The Bongolian	The Champion	40208471	Makyo	The Third Gate Of Dreams	104905170	Anderson .Paak	Already (Feat. Sir)	 	 	 
62640420	DJ Cam Quartet	The Look of Love	512910192	Kiran Ahluwalia	Vada	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	 	 	 
92525192	Bester Quartet	God-Forsaken	442879502	Lucibela	Dona Ana	3125472	Bill Bruford	One Of A Kind - Part One	 	 	 
1043164	Yvette Horner	La Java	72121362	Mayra Andrade	Les mots d'amour	12015035	Alan Lomax	No More, My Lawd	 	 	 
67246873	Gecko Turner	45.000$ (Guapapasea)	420672012	Chlorine Free	Lifelines	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)	 	 	 
67246877	Gecko Turner	How Come You Do Me Like You Do Me? (Big Bang Romeo)	420672052	Chlorine Free	Clifford Day	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat	 	 	 
67246886	Gecko Turner	45.000$ (Guapapasea) (Watch TV Remix)	428405082	moow	People	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton	 	 	 
1183595	Souad Massi	Raoui	432876762	Masta Ace	Ninteen Seventy Something (Snares Remix)	200128	Various Artists	Chant himba	 	 	 
442879472	Lucibela	Chica di Nha Maninha	432876812	Masta Ace	Think I Am (Dead Rabbit Remix)	72139389	Willem Breuker	Mr. M.A.De R.In A	 	 	 
420672092	Chlorine Free	Let's Walk	3130696	Lords of the Underground	Here Come The Lords (Explicit)	124197706	Death Grips	Hot Head	 	 	 
420672032	Chlorine Free	Dayz Speech	799575	Pierre-Laurent Aimard	Traditional : Yangisa	109786870	Tim Berne	Geez (Berne)(For Craig)	 	 	 
420672072	Chlorine Free	Rêves perdus	1101823	James Brown	Mother Popcorn (Single Version)	396634882	Oddjob	Pics & l’hirondelle	 	 	 
62514352	Hijaz	Ila sadiqui	3489376	Horace Silver Quintet	The Cape Verdean Blues	12677533	Men From The Niutao Community	Aliamu Ma Ana Mea Tufuga (Aliamu and His Tools)	 	 	 
432876772	Masta Ace	Son of Yvonne (Flip Remix)	139301695	Awa Poulo	Dimo Yaou Tata	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)	 	 	 
2960285	The Rapture	Get Myself Into It (Album version)	85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]	2269650	Tony Williams	There Comes A Time	 	 	 
97344120	Gecko Turner	I'll Do That	70274599	Ali Farka Toure	Sabu Yerkoy	9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	 	 	 
97344122	Gecko Turner	Bee Eater	130379666	Deru	Echoes of Me	75886504	André Minvielle	Madame Mimi (Blumdido)	 	 	 
505015232	Jorja Smith	Lifeboats (Freestyle)	858671	Jaco Pastorius	Come On, Come Over	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir	 	 	 
125919109	Mistura Pura	C'est de Rythme	797834	Laurent de Wilde	Jungle Hard Bop	414426462	The Residents	This is a Man's Man's Man's World	 	 	 
125919111	Mistura Pura	Jill Is Dancing in the Dark	17524173	Aka Moon	For drummers only	132493432	Theo Bleckmann	Late Green	 	 	 
125919113	Mistura Pura	Nuevo Jungo	2457779	Primus	Tommy The Cat (Album Version)	70218255	Tim Hecker	Aerial Silver	 	 	 
125919115	Mistura Pura	L.A. Sound 1976	429941542	Magic Malik	XP-Contrepoint mécanique à six voix	90389689	Bugge Wesseltoft	Dreaming	 	 	 
125919117	Mistura Pura	Angels on a Cruise	65802269	Meredith Monk	Dusk	430154832	Lilli und Lars	A Ram Sam Sam	 	 	 
125919119	Mistura Pura	High Tide on Waimanalo Beach	366003431	Ravi Shankar	Spring	73522931	Sleepytime Gorilla Museum	The Putrid Refrain	 	 	 
125919121	Mistura Pura	The Arab Connection	76985342	Goldie	Vanilla	3914343	Kronos Quartet	Forbidden Fruit	 	 	 
