I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
 	 	 	115068454	Ikuta Ryu	Kojo No Tsuki	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga	130379666	Deru	Echoes of Me
 	 	 	3133915	Orchestre National de Barbès	Alaoui (live)	858671	Jaco Pastorius	Come On, Come Over	797834	Laurent de Wilde	Jungle Hard Bop
 	 	 	3647677	Harry Partch	The Street	427341552	New York Philharmonic Orchestra	Symphony No. 9 in D Minor, WAB 109: II. Scherzo. Bewegt, lebhaft. Trio. Schnell (Live)	5593819	Dayton	Krackity-Krack (Remastered)
 	 	 	83947151	Totó La Momposina	Chí Chí Maní	12156755	Steve Lehman	Digital Ambush	17524173	Aka Moon	For drummers only
 	 	 	130863564	Supersilent	6.5	426733542	Jakob Bro	Full Moon Europa	13533692	Botch	To Our Friends in the Great White North (Demo)
 	 	 	2439463	The Carla Bley Band	Musique Mecanique I	81882102	Mark Guiliana	A Quote Machine	2457779	Primus	Tommy The Cat (Album Version)
 	 	 	125953469	Slint	Breadcrumb Trail	429108162	Paul Bley	Speak Easy	70978510	Naked City	Osaka Bondage
 	 	 	9056672	The Adolescents	Kids of the Blackhole	1735890	Skip James	Devil Got My Woman	17696389	Luciano Berio	Visage
 	 	 	78302846	Goto80	Boys Say Go	131545124	Lord Invader	Out the Fire	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge
 	 	 	64213891	Manu Le Malin	On the Way Home	76985342	Goldie	Vanilla	429941542	Magic Malik	XP-Contrepoint mécanique à six voix
 	 	 	7738509	Georgette plana	La Valse Brune	63419829	Abe Schwartz	Sher Pt.2	65802269	Meredith Monk	Dusk
 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2	95547444	Dan Deacon	Sheathed Wings	121437780	Octurn	Lhasa
 	 	 	 	 	 	4655700	Don Cherry	Mahakali	76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na
 	 	 	 	 	 	79088196	Hawk House	My Mind Is The Weapon (Topic 1)	73467980	Maalim Abdi	Natamani uwa [ua]
 	 	 	 	 	 	10236728	Austin Peralta	Capricornus	1735890	Skip James	Devil Got My Woman
 	 	 	 	 	 	67121873	Björk	Crystalline (Matthew Herbert Remix)	123672654	Bob Log III	Guitar Party Power
 	 	 	 	 	 	2813599	Steps Ahead	Both Sides Of The Coin	76985342	Goldie	Vanilla
 	 	 	 	 	 	6374932	Daniel Johnston	I Had Lost My Mind	80674522	Boban Markovic	Izvorski biseri
 	 	 	 	 	 	65952705	Vienna Radio Symphony Orchestra, Peter Rundel & Johannes Kalitzke	Quattro Pezzi (Su Una Nota Sola) - 4th Movement	351958571	Sélébéyone	Are You in Peace
 	 	 	 	 	 	 	 	 	1739106	James Chance & The Contortions	Contort Yourself
 	 	 	 	 	 	 	 	 	105522282	Glenn Branca	Symphony #3: 2nd Movement (Excerpt)
 	 	 	 	 	 	 	 	 	61636056	Panzerballett	Birdland
 	 	 	 	 	 	 	 	 	132082546	Car Bomb	Black Blood
 	 	 	 	 	 	 	 	 	78626974	King Oliver	Chattanooga Stomp
 	 	 	 	 	 	 	 	 	445346202	Théo Ceccaldi	Amanda Dakota
 	 	 	 	 	 	 	 	 	12480647	Lightning Bolt	Dracula Mountain
 	 	 	 	 	 	 	 	 	12254142	Joy Division	Atmosphere (2011 Total Version)
