I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
 	 	 	63419829	Abe Schwartz	Sher Pt.2	2813599	Steps Ahead	Both Sides Of The Coin	70978510	Naked City	Osaka Bondage
 	 	 	3133915	Orchestre National de Barbès	Alaoui (live)	78626974	King Oliver	Chattanooga Stomp	17696389	Luciano Berio	Visage
 	 	 	83947151	Totó La Momposina	Chí Chí Maní	125953469	Slint	Breadcrumb Trail	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge
 	 	 	7577270	Vincent Dumestre	Una musiqua	63661146	Tatiana Samouil	Quatuor pour deux violons, alto et violoncelle en ré majeur (CFF 124): Poco lento - Allegro	77055099	Matthew Curtis	Kyrie (La Messe de Notre Dame) - Balanced Voices
 	 	 	445346202	Théo Ceccaldi	Amanda Dakota	6374932	Daniel Johnston	I Had Lost My Mind	121437780	Octurn	Lhasa
 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2	12254142	Joy Division	Atmosphere (2011 Total Version)	73467980	Maalim Abdi	Natamani uwa [ua]
 	 	 	 	 	 	78302846	Goto80	Boys Say Go	76985342	Goldie	Vanilla
 	 	 	 	 	 	 	 	 	351958571	Sélébéyone	Are You in Peace
 	 	 	 	 	 	 	 	 	1739106	James Chance & The Contortions	Contort Yourself
 	 	 	 	 	 	 	 	 	3647677	Harry Partch	The Street
 	 	 	 	 	 	 	 	 	95547444	Dan Deacon	Sheathed Wings
 	 	 	 	 	 	 	 	 	130863564	Supersilent	6.5
 	 	 	 	 	 	 	 	 	79088196	Hawk House	My Mind Is The Weapon (Topic 1)
 	 	 	 	 	 	 	 	 	10236728	Austin Peralta	Capricornus
 	 	 	 	 	 	 	 	 	61636056	Panzerballett	Birdland
 	 	 	 	 	 	 	 	 	132082546	Car Bomb	Black Blood
 	 	 	 	 	 	 	 	 	6615567	Bill Frisell	One of These Days
 	 	 	 	 	 	 	 	 	9056672	The Adolescents	Kids of the Blackhole
 	 	 	 	 	 	 	 	 	64213891	Manu Le Malin	On the Way Home
 	 	 	 	 	 	 	 	 	65952705	Vienna Radio Symphony Orchestra, Peter Rundel & Johannes Kalitzke	Quattro Pezzi (Su Una Nota Sola) - 4th Movement
