I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
443198082	Burak King	Yanıyoruz	542748792	GASHI	Creep On Me	524414012	JYYE	Look At You	583630252	The Chainsmokers	Beach House
144312348	Sufle	Pus	144312350	Sufle	İçinde Aşk Var	407611432	Cem Adrian	Ne Ağlarsın	582569132	GASHI	No Face No Case
395316922	Burak King	Koştum Hekime	13335850	Gripin	Sensiz İstanbul'a Düşmanım	567830912	Cem Adrian	Yolun Sonu Görünüyor feat. Musa Eroğlu (feat. Musa Eroğlu)	113655888	Burak Yeter	Kingdom Falls (Original Mix)
516102912	Mabel Matiz	A Canım	539985752	Ece Seçkin	Dibine Dibine	502960492	Simge	Ben Bazen	3125472	Bill Bruford	One Of A Kind - Part One
361258071	Maksim Mrvica	Exodus	82297434	Maksim Mrvica	Mission Impossible (Main Theme)	580705282	Little Mix	Strip	12015035	Alan Lomax	No More, My Lawd
469299262	Emre Sertkaya	Minnet Eylemem	12241563	2CELLOS	Smooth Criminal	134306840	Mithat Can Özer	Ateş Böceği	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)
469299292	Emre Sertkaya	Namus	542389552	Ariana Grande	no tears left to cry	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	72139389	Willem Breuker	Mr. M.A.De R.In A
13533692	Botch	To Our Friends in the Great White North (Demo)	465930322	Mehmet Erdem	Ateş-i Aşka	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat	124197706	Death Grips	Hot Head
80674522	Boban Markovic	Izvorski biseri	68078580	Müslüm Gürses	Affet	799575	Pierre-Laurent Aimard	Traditional : Yangisa	109786870	Tim Berne	Geez (Berne)(For Craig)
3133915	Orchestre National de Barbès	Alaoui (live)	68078582	Müslüm Gürses	Nilüfer	12677533	Men From The Niutao Community	Aliamu Ma Ana Mea Tufuga (Aliamu and His Tools)	396634882	Oddjob	Pics & l’hirondelle
 	 	 	549626992	Morandi	Kalinka	102811476	James Brown	Mother Popcorn (Single Version)	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)
 	 	 	547452212	BURRY SOPRANO	Mary Jane (Radio Edit)	3090919	Horace Silver	The Cape Verdean Blues (Remastered)	75886504	André Minvielle	Madame Mimi (Blumdido)
 	 	 	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton	2269650	Tony Williams	There Comes A Time	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir
 	 	 	200128	Various Artists	Chant himba	9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	132493432	Theo Bleckmann	Late Green
 	 	 	3130696	Lords of the Underground	Here Come The Lords (Explicit)	430154832	Lilli und Lars	A Ram Sam Sam	85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]
 	 	 	139301695	Awa Poulo	Dimo Yaou Tata	751553	Don Ellis	Niner Two (Live At Montreux)	70218255	Tim Hecker	Aerial Silver
 	 	 	414426462	The Residents	This is a Man's Man's Man's World	47326511	Arvo Pärt	I. Ludus	90389689	Bugge Wesseltoft	Dreaming
 	 	 	70274599	Ali Farka Toure	Sabu Yerkoy	130379666	Deru	Echoes of Me	73522931	Sleepytime Gorilla Museum	The Putrid Refrain
 	 	 	858671	Jaco Pastorius	Come On, Come Over	797834	Laurent de Wilde	Jungle Hard Bop	3896792	John Zorn	Forbidden Fruit
 	 	 	5593819	Dayton	Krackity-Krack (Remastered)	17524173	Aka Moon	For drummers only	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga
 	 	 	1499310	Golden Gate Jubilee Quartet	Preacher And The Bear	12156755	Steve Lehman	Digital Ambush	6491411	Artemis Quartet	String Quartet No 2: Come un meccanismo di precisione
 	 	 	76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na	426733542	Jakob Bro	Full Moon Europa	106706224	Glenn Gould	Contrapunctus III (Remastered)
 	 	 	73467980	Maalim Abdi	Natamani uwa [ua]	81882102	Mark Guiliana	A Quote Machine	2457779	Primus	Tommy The Cat (Album Version)
 	 	 	366003431	Ravi Shankar	Spring	429108162	Paul Bley	Speak Easy	427341552	New York Philharmonic Orchestra	Symphony No. 9 in D Minor, WAB 109: II. Scherzo. Bewegt, lebhaft. Trio. Schnell (Live)
 	 	 	131545124	Lord Invader	Out the Fire	201066	Carmen Miranda	Alô, Alô	70978510	Naked City	Osaka Bondage
 	 	 	63419829	Abe Schwartz	Sher Pt.2	1735890	Skip James	Devil Got My Woman	17696389	Luciano Berio	Visage
 	 	 	83947151	Totó La Momposina	Chí Chí Maní	351958571	Sélébéyone	Are You in Peace	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge
 	 	 	67121873	Björk	Crystalline (Matthew Herbert Remix)	95547444	Dan Deacon	Sheathed Wings	429941542	Magic Malik	XP-Contrepoint mécanique à six voix
 	 	 	 	 	 	4655700	Don Cherry	Mahakali	77055099	Matthew Curtis	Kyrie (La Messe de Notre Dame) - Balanced Voices
 	 	 	 	 	 	10236728	Austin Peralta	Capricornus	65802269	Meredith Monk	Dusk
 	 	 	 	 	 	2439463	The Carla Bley Band	Musique Mecanique I	121437780	Octurn	Lhasa
 	 	 	 	 	 	7577270	Vincent Dumestre	Una musiqua	115068454	Ikuta Ryu	Kojo No Tsuki
 	 	 	 	 	 	2813599	Steps Ahead	Both Sides Of The Coin	76985342	Goldie	Vanilla
 	 	 	 	 	 	78626974	King Oliver	Chattanooga Stomp	123672654	Bob Log III	Guitar Party Power
 	 	 	 	 	 	6615567	Bill Frisell	One of These Days	1739106	James Chance & The Contortions	Contort Yourself
 	 	 	 	 	 	6374932	Daniel Johnston	I Had Lost My Mind	105522282	Glenn Branca	Symphony #3: 2nd Movement (Excerpt)
 	 	 	 	 	 	7738509	Georgette plana	La Valse Brune	3647677	Harry Partch	The Street
 	 	 	 	 	 	2271252	Manolo Sanlucar	El Poeta Pide A Su Amor Que Le Escriba(Canción-Bulería) (Album Version)	130863564	Supersilent	6.5
 	 	 	 	 	 	 	 	 	79088196	Hawk House	My Mind Is The Weapon (Topic 1)
 	 	 	 	 	 	 	 	 	61636056	Panzerballett	Birdland
 	 	 	 	 	 	 	 	 	132082546	Car Bomb	Black Blood
 	 	 	 	 	 	 	 	 	445346202	Théo Ceccaldi	Amanda Dakota
 	 	 	 	 	 	 	 	 	125953469	Slint	Breadcrumb Trail
 	 	 	 	 	 	 	 	 	12480647	Lightning Bolt	Dracula Mountain
 	 	 	 	 	 	 	 	 	9056672	The Adolescents	Kids of the Blackhole
 	 	 	 	 	 	 	 	 	63661146	Tatiana Samouil	Quatuor pour deux violons, alto et violoncelle en ré majeur (CFF 124): Poco lento - Allegro
 	 	 	 	 	 	 	 	 	12254142	Joy Division	Atmosphere (2011 Total Version)
 	 	 	 	 	 	 	 	 	78302846	Goto80	Boys Say Go
 	 	 	 	 	 	 	 	 	64213891	Manu Le Malin	On the Way Home
 	 	 	 	 	 	 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2
 	 	 	 	 	 	 	 	 	65952705	Vienna Radio Symphony Orchestra, Peter Rundel & Johannes Kalitzke	Quattro Pezzi (Su Una Nota Sola) - 4th Movement
