I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
586878552	Lost Frequencies	Crazy (Tomorrowland Intro Mix)	491032622	Lost Frequencies	Melody (feat. James Blunt)	426048012	Therapie TAXI	Salop(e)	479840422	Jen Jis	Keep Us Apart (feat. Bright Sparks)
683008302	Bon Entendeur	Coup de tête	99925946	Lost Frequencies	Reality (feat. Janieck Devy)	86116283	Tinush	Sandburg (Umami Remix)	701359592	Vendredi sur Mer	Gourmandises - Souvenirs d'été
683008342	Bon Entendeur	La Rua Madureira	92572810	Feder	Goodbye (feat. Lyse) (Original Mix)	118585330	Eric Prydz	Every Day	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton
86116271	Tinush	Sandburg	86116275	Tinush	Things	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	124197706	Death Grips	Hot Head
929222	Free	All Right Now	611209452	Lizzo	Juice	3125472	Bill Bruford	One Of A Kind - Part One	109786870	Tim Berne	Geez (Berne)(For Craig)
569832342	LSD	Thunderclouds (Lost Frequencies Remix)	703185232	Bon Entendeur	Viens à Juan-les-Pins - Souvenirs d'été	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)
503114772	Jain	Alright	683008352	Bon Entendeur	Entrevue Expérience	200128	Various Artists	Chant himba	75886504	André Minvielle	Madame Mimi (Blumdido)
543575302	Jain	Oh Man	683008362	Bon Entendeur	Tu fais partie du passé	799575	Pierre-Laurent Aimard	Traditional : Yangisa	85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]
109176400	Jain	Come	683008422	Bon Entendeur	Love Is Blue	12677533	Men From The Niutao Community	Aliamu Ma Ana Mea Tufuga (Aliamu and His Tools)	73522931	Sleepytime Gorilla Museum	The Putrid Refrain
532589062	Bon Entendeur	Le temps est bon	886301	Daniel Balavoine	Le chanteur	2269650	Tony Williams	There Comes A Time	3386380	Artemis Quartet	String Quartet No 2: Come un meccanismo di precisione
3124106	Cliff Richard & The Shadows	Theme for a Dream	886320	Daniel Balavoine	Mon fils ma bataille	9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	13533692	Botch	To Our Friends in the Great White North (Demo)
876496	Daniel Balavoine	Aimer est plus fort que d'être aimé	876497	Daniel Balavoine	Tous les cris les S.O.S.	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir	2457779	Primus	Tommy The Cat (Album Version)
118585342	Eric Prydz	Opus	2423891	Bob Marley & The Wailers	Is This Love	132493432	Theo Bleckmann	Late Green	70978510	Naked City	Osaka Bondage
144203048	Eric Prydz	Call on Me (Radio Mix)	2423898	Bob Marley & The Wailers	Could You Be Loved	70218255	Tim Hecker	Aerial Silver	17696389	Luciano Berio	Visage
28883351	Eric Prydz	Pjanoo (Eric's Intro Edit)	118585318	Eric Prydz	Generate	3914343	Kronos Quartet	Forbidden Fruit	12156755	Steve Lehman	Digital Ambush
704069822	Ali Farka Toure	Sabu Yerkoy	12015035	Alan Lomax	No More, My Lawd	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga	81882102	Mark Guiliana	A Quote Machine
6615567	Bill Frisell	One of These Days	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)	751553	Don Ellis	Niner Two (Live At Montreux)	65802269	Meredith Monk	Dusk
12254142	Joy Division	Atmosphere (2011 Total Version)	3130696	Lords of the Underground	Here Come The Lords (Explicit)	106706224	Glenn Gould	Contrapunctus III (Remastered)	429108162	Paul Bley	Speak Easy
 	 	 	85986183	James Brown	Mother Popcorn (Part 1)	797834	Laurent de Wilde	Jungle Hard Bop	121437780	Octurn	Lhasa
 	 	 	3489376	Horace Silver Quintet	The Cape Verdean Blues	17524173	Aka Moon	For drummers only	73467980	Maalim Abdi	Natamani uwa [ua]
 	 	 	139301695	Awa Poulo	Dimo Yaou Tata	427341552	New York Philharmonic Orchestra	Symphony No. 9 in D Minor, WAB 109: II. Scherzo. Bewegt, lebhaft. Trio. Schnell (Live)	76985342	Goldie	Vanilla
 	 	 	414426462	The Residents	This is a Man's Man's Man's World	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge	123672654	Bob Log III	Guitar Party Power
 	 	 	430154832	Lilli und Lars	A Ram Sam Sam	429941542	Magic Malik	XP-Contrepoint mécanique à six voix	351958571	Sélébéyone	Are You in Peace
 	 	 	47326511	Arvo Pärt	I. Ludus	426733542	Jakob Bro	Full Moon Europa	1739106	James Chance & The Contortions	Contort Yourself
 	 	 	130379666	Deru	Echoes of Me	77055099	Matthew Curtis	Kyrie (La Messe de Notre Dame) - Balanced Voices	105522282	Glenn Branca	Symphony #3: 2nd Movement (Excerpt)
 	 	 	858671	Jaco Pastorius	Come On, Come Over	76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na	3647677	Harry Partch	The Street
 	 	 	5593819	Dayton	Krackity-Krack (Remastered)	1735890	Skip James	Devil Got My Woman	67121873	Björk	Crystalline (Matthew Herbert Remix)
 	 	 	1499310	Golden Gate Jubilee Quartet	Preacher And The Bear	63419829	Abe Schwartz	Sher Pt.2	132082546	Car Bomb	Black Blood
 	 	 	201066	Carmen Miranda	Alô, Alô	80674522	Boban Markovic	Izvorski biseri	676476332	Lightning Bolt	Dracula Mountain
 	 	 	366003431	Ravi Shankar	Spring	3133915	Orchestre National de Barbès	Alaoui (live)	9056672	The Adolescents	Kids of the Blackhole
 	 	 	131545124	Lord Invader	Out the Fire	95547444	Dan Deacon	Sheathed Wings	64213891	Manu Le Malin	On the Way Home
 	 	 	115068454	Ikuta Ryu	Kojo No Tsuki	7314318	Le Mystère Des Voix Bulgares	Zableyalo Mi Agantze (Album Version)	 	 	 
 	 	 	83947151	Totó La Momposina	Chí Chí Maní	4655700	Don Cherry	Mahakali	 	 	 
 	 	 	2271252	Manolo Sanlucar	El Poeta Pide A Su Amor Que Le Escriba(Canción-Bulería) (Album Version)	79088196	Hawk House	My Mind Is The Weapon (Topic 1)	 	 	 
 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2	10236728	Austin Peralta	Capricornus	 	 	 
 	 	 	 	 	 	2439463	The Carla Bley Band	Musique Mecanique I	 	 	 
 	 	 	 	 	 	67121873	Björk	Crystalline (Matthew Herbert Remix)	 	 	 
 	 	 	 	 	 	7577270	Vincent Dumestre	Una musiqua	 	 	 
 	 	 	 	 	 	2813599	Steps Ahead	Both Sides Of The Coin	 	 	 
