I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
515750802	Yussef Dayes	Love Is the Message	16483790	Robert Glasper	Afro Blue	561856742	Lady Gaga	Shallow	546875592	Angèle	Tout oublier
486780942	August Greene	Let Go	558046892	Badbadnotgood	Tried	545515842	Maisha	Kaa	139897453	Spoon	Hot Thoughts
89211011	Mighty Ryeders	Evil Vibrations	483570562	Robert Glasper Experiment	No One Like You (KAYTRANADA Remix)	393885392	Joe Armon-Jones	SE Discotheque	556338862	Navii	New York 90
725850	Red Hot Chili Peppers	Under the Bridge	72004975	Axel Boman	Can't Find It	572025482	Richard Spaven	Rescue	103823446	Navii	J'écoute du Miles Davis (Radio Version)
122340584	Alex Dolby	Calypso (Alex Dolby's Riviera 90s Remix)	504930752	Axel Boman	Forgot About You (Piano Version)	72004981	Axel Boman	Hello	121440390	Navii	Turbulences
6865375	Thievery Corporation	Amerimacka	515750802	Yussef Dayes	Love Is the Message	68903082	Julien Doré	Paris-Seychelles	125333440	Navii	Eblouie par la nuit
65530576	DJ Koze	Nices Wölkchen (feat. Apparat)	101565922	Marcel Fengler	Jaz (Kosi Edit) (mixed)	1146872	Soundgarden	Black Hole Sun	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir
3668899	DJ Koze vs Sid LeRock	Naked (DJ Koze Remix)	14594500	Jill Scott	Golden	80870180	Klangkarussell	Eistee aus der Dose	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)
3668907	Malaria! vs Chicks On Speed	Kaltes Klares Wasser (DJ Koze & The Tease Rmx)	67929154	Kendrick Lamar	Bitch, Don’t Kill My Vibe	98958712	Paul Kalkbrenner	Kruppzeug (Fritz Kalkbrenner Remix)	1739106	James Chance & The Contortions	Contort Yourself
67306381	Floorplan	Never Grow Old	12275893	Metronomy	The Bay (Erol Alkan's Extended Rework)	53067871	Adriatique	Deeper Love	85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]
97206068	Kendrick Lamar	Alright	3129616	Air	Playground Love (With Gordon Tracks)	7034830	The Dave Brubeck Quartet	Blue Rondo à la Turk	123672654	Bob Log III	Guitar Party Power
130878816	Yussef Kamaal	Joint 17	70562294	Parov Stelar	Keep On Dancing	963148	CAKE	The Distance	430154832	Lilli und Lars	A Ram Sam Sam
464226482	DJ Koze	Pick Up	869922	Pearl Jam	Light Years	3207238	Jimmy Smith	Jumpin' The Blues (Remastered/Rudy Van Gelder Edition)	70218255	Tim Hecker	Aerial Silver
