I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)	83947151	Totó La Momposina	Chí Chí Maní	 	 	 	 	 	 
12015035	Alan Lomax	No More, My Lawd	130863564	Supersilent	6.5	 	 	 	 	 	 
396634882	Oddjob	Pics & l’hirondelle	4655700	Don Cherry	Mahakali	 	 	 	 	 	 
3130696	Lords of the Underground	Here Come The Lords (Explicit)	7577270	Vincent Dumestre	Una musiqua	 	 	 	 	 	 
799575	Pierre-Laurent Aimard	Traditional : Yangisa	61636056	Panzerballett	Birdland	 	 	 	 	 	 
102811476	James Brown	Mother Popcorn (Single Version)	78626974	King Oliver	Chattanooga Stomp	 	 	 	 	 	 
139301695	Awa Poulo	Dimo Yaou Tata	445346202	Théo Ceccaldi	Amanda Dakota	 	 	 	 	 	 
9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	64213891	Manu Le Malin	On the Way Home	 	 	 	 	 	 
75886504	André Minvielle	Madame Mimi (Blumdido)	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2	 	 	 	 	 	 
95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir	65952705	Vienna Radio Symphony Orchestra, Peter Rundel & Johannes Kalitzke	Quattro Pezzi (Su Una Nota Sola) - 4th Movement	 	 	 	 	 	 
85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]	 	 	 	 	 	 	 	 	 
70218255	Tim Hecker	Aerial Silver	 	 	 	 	 	 	 	 	 
90389689	Bugge Wesseltoft	Dreaming	 	 	 	 	 	 	 	 	 
70274599	Ali Farka Toure	Sabu Yerkoy	 	 	 	 	 	 	 	 	 
47326511	Arvo Pärt	I. Ludus	 	 	 	 	 	 	 	 	 
130379666	Deru	Echoes of Me	 	 	 	 	 	 	 	 	 
797834	Laurent de Wilde	Jungle Hard Bop	 	 	 	 	 	 	 	 	 
858671	Jaco Pastorius	Come On, Come Over	 	 	 	 	 	 	 	 	 
17524173	Aka Moon	For drummers only	 	 	 	 	 	 	 	 	 
427341552	New York Philharmonic Orchestra	Symphony No. 9 in D Minor, WAB 109: II. Scherzo. Bewegt, lebhaft. Trio. Schnell (Live)	 	 	 	 	 	 	 	 	 
12156755	Steve Lehman	Digital Ambush	 	 	 	 	 	 	 	 	 
81882102	Mark Guiliana	A Quote Machine	 	 	 	 	 	 	 	 	 
429108162	Paul Bley	Speak Easy	 	 	 	 	 	 	 	 	 
1499310	Golden Gate Jubilee Quartet	Preacher And The Bear	 	 	 	 	 	 	 	 	 
121437780	Octurn	Lhasa	 	 	 	 	 	 	 	 	 
76145749	The Thewaprasit Ensemble	Pleng Sen Lao Na	 	 	 	 	 	 	 	 	 
366003431	Ravi Shankar	Spring	 	 	 	 	 	 	 	 	 
1735890	Skip James	Devil Got My Woman	 	 	 	 	 	 	 	 	 
131545124	Lord Invader	Out the Fire	 	 	 	 	 	 	 	 	 
115068454	Ikuta Ryu	Kojo No Tsuki	 	 	 	 	 	 	 	 	 
76985342	Goldie	Vanilla	 	 	 	 	 	 	 	 	 
123672654	Bob Log III	Guitar Party Power	 	 	 	 	 	 	 	 	 
63419829	Abe Schwartz	Sher Pt.2	 	 	 	 	 	 	 	 	 
80674522	Boban Markovic	Izvorski biseri	 	 	 	 	 	 	 	 	 
3133915	Orchestre National de Barbès	Alaoui (live)	 	 	 	 	 	 	 	 	 
7314318	Le Mystère Des Voix Bulgares	Zableyalo Mi Agantze (Album Version)	 	 	 	 	 	 	 	 	 
79088196	Hawk House	My Mind Is The Weapon (Topic 1)	 	 	 	 	 	 	 	 	 
10236728	Austin Peralta	Capricornus	 	 	 	 	 	 	 	 	 
67121873	Björk	Crystalline (Matthew Herbert Remix)	 	 	 	 	 	 	 	 	 
78302846	Goto80	Boys Say Go	 	 	 	 	 	 	 	 	 
2271252	Manolo Sanlucar	El Poeta Pide A Su Amor Que Le Escriba(Canción-Bulería) (Album Version)	 	 	 	 	 	 	 	 	 
