I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
691125132	Nekfeu	Le bruit qui court	691125142	Nekfeu	Elle pleut	74446872	The House Master Boyz	House Nation	612459642	Joe Smooth	Promised Land
543267172	Rhythim Is Rhythim	Strings of Life (Original Mix)	12159155	Frankie Knuckles	Your Love	11829875	Model 500	No UFO's (Vocal)	5596657	Graham Central Station	The Jam
534516	Sly & The Family Stone	Underdog	75250663	Lil' Louis	French Kiss	3781914	Laurent Garnier	The Man With The Red Face	423029872	Folamour	Petit Prince Du Macadam
3493277	IAM	Demain, c'est loin	447159112	Sly & The Family Stone	Remember Who You Are	3613248	Bootsy Collins	I'd Rather Be with You	545674862	PLK	Bunkoeur
407099282	Denis Sulta	Our World (With a Boy On Its Shoulders)	1067076	Wild Cherry	Play That Funky Music	2521628	Rufus	Tell Me Something Good	517066452	Bingo Players	Love Me Right
105094086	Denis Sulta	L.A. Ruffgarden (Terrace Mix)	2289190	Parliament	Give Up The Funk (Tear The Roof Off The Sucker) (Album Version)	1101780	James Brown	Get Up (I Feel Like Being A) Sex Machine (Pt. 1 & 2)	699202312	D.A.V	ParoVie (feat. Damso)
141790741	Denis Sulta	Nein Fortiate	15904504	Psy 4 de la Rime	Le son des bandits (feat. Saleem)	75626419	Earth, Wind & Fire	Shining Star	635505922	Prins Thomas	XSB
423029882	Folamour	Ivoire (feat. Kio Amachree)	2905442	La Fouine	Rap Français	2905446	La Fouine	De l'or	627436222	Rilès	MARIJUANA
131852560	Don Choa	7H00 du mat	623527402	Guizmo	J'ai du Mal	105094112	Denis Sulta	A.A.S (Nite & Day Mix)	136241538	Rilès	Thank God
551671432	Mall Grab	Liverpool Street In The Rain	73956354	IAM	L'empire du côté obscur	105094114	Denis Sulta	A.A.L.A.S	695425662	Rilès	MYSELF N THE SEA
627280602	Mall Grab	Pool Party Music	697978792	Mall Grab	Sleepless	117863772	Denis Sulta	TIME 4 PRAYER	121936460	Rilès	Brothers
697978822	Mall Grab	Temperature Rising	42223741	Generazione Anni '80	No Tengo Dinero	423029892	Folamour	Look At Me Or I'll Steal Your Eyes	612438942	OBOY	R10
42223711	Generazione Anni '80	Dolce Vita	472899552	PLK	A A A	143137188	Médine	Grand Paris	683627142	OBOY	Rien à fêter
42223731	Generazione Anni '80	Hypnotic Tango	383166251	PLK	Ténébreux	633079092	Mall Grab	Out of Time	715363422	Luv Resval	Crystal Lake
42223801	Generazione Anni '80	Happy Children	131852552	Don Choa	P'tit bordel 2	42223821	Generazione Anni '80	People From Ibiza	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)
383166301	PLK	All Night	140605679	TSR Crew	Sans Sommation, Pt. 3	545674892	PLK	Ils nous comprennent pas	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat
472899572	PLK	Pas les mêmes	140605683	TSR Crew	Mes Frères	481610562	Nito Ruze	About a Week	124197706	Death Grips	Hot Head
383166341	PLK	Du mal	622552152	PLK	Idiote	525056432	Josman	XS	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)
400407142	Hugo TSR	Là-haut	651716712	Laroze	I Wanna Know	608163342	Caballero & JeanJass	Californie	75886504	André Minvielle	Madame Mimi (Blumdido)
140605663	TSR Crew	Sans Sommation, Pt. 1	481610572	Jeff Haze	Home Wrecker	632427082	Erol Alkan	Spectrum (Matrixxman Highway Remix)	132493432	Theo Bleckmann	Late Green
709488522	PLK	Problèmes	722032212	Doums	Q.D.C.	466761922	Bingo Players	Everybody	70218255	Tim Hecker	Aerial Silver
622552272	PLK	Émotif (Booska 1H)	722032232	Doums	Chronos	459565732	Mr. Belt	Boogie Wonderland	430154832	Lilli und Lars	A Ram Sam Sam
404088122	Laroze	What About Me	722032272	Doums	Jeunes retraités	717657112	Sano	Sabrosito Tool	73522931	Sleepytime Gorilla Museum	The Putrid Refrain
722032222	Doums	Zenith	144445412	Deen Burbigo	Retour en arrière	643717442	ToDieFor	Signals	3914343	Kronos Quartet	Forbidden Fruit
722032242	Doums	Dans le sang	144445416	Deen Burbigo	Me réveiller	547833042	Columbine	Cache-Cache	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga
722032252	Doums	Oulala	144445426	Deen Burbigo	Coupe le son	649690092	Columbine	C'est pas grave	3386380	Artemis Quartet	String Quartet No 2: Come un meccanismo di precisione
