I love	 	 	I like	 	 	I don't like	 	 	I hate	 	 
ID	artist	name	ID	artist	name	ID	artist	name	ID	artist	name
361301021	Anne Ducros	You Are so Beautiful	10686129	Sade	The Sweetest Taboo (Remastered)	5196440	Sade	Soldier of Love	569837832	Johnny Hallyday	J'en parlerai au diable
13276262	Tania Maria	Tanoca Vignette	13182501	Basia	Cruising for Bruising	70274238	Ruben Gonzalez	Cumbanchero	472992592	Xxxtentacion	Moonlight
61551232	Maceo Parker	Shake Everything You´ve Got	546875652	Angèle	Ta reine	12015035	Alan Lomax	No More, My Lawd	72139389	Willem Breuker	Mr. M.A.De R.In A
3129465	Ray Charles	Fever (with Natalie Cole)	55434611	Les Double Six	Meet Benny Bailey (Au Bout Du Fil)	16765811	Royal Scottish National Orchestra	II. Melankolia (Melancholy)	124197706	Death Grips	Hot Head
4368116	Michael Bublé	Feeling Good	3125472	Bill Bruford	One Of A Kind - Part One	67035154	London Symphony Orchestra	Symphonie Fantastique, Op. 14 - Fifth Movement: Songe D'Une Nuit De Sabbat	85900431	Aphex Twin	CIRCLONT14 [152.97][shrymoming mix]
2284979	Gato Barbieri	Europa (Earth's Cry, Heaven's Smile)	3489376	Horace Silver Quintet	The Cape Verdean Blues	6750126	Jean-Christophe Maillard	Branle de village sur le 8ème ton	70218255	Tim Hecker	Aerial Silver
142704124	M	Manitoumani	139301695	Awa Poulo	Dimo Yaou Tata	200128	Various Artists	Chant himba	73522931	Sleepytime Gorilla Museum	The Putrid Refrain
414330422	Avishai Cohen	Wedding Song (Film Version)	2269650	Tony Williams	There Comes A Time	109786870	Tim Berne	Geez (Berne)(For Craig)	3914343	Kronos Quartet	Forbidden Fruit
134519770	Anne Sila	Let It Go	9592203	"David ""Fuze"" Fiuczynski"	Moonring Bacchanal	396634882	Oddjob	Pics & l’hirondelle	13533692	Botch	To Our Friends in the Great White North (Demo)
85986183	James Brown	Mother Popcorn (Part 1)	75886504	André Minvielle	Madame Mimi (Blumdido)	3130696	Lords of the Underground	Here Come The Lords (Explicit)	70978510	Naked City	Osaka Bondage
70274599	Ali Farka Toure	Sabu Yerkoy	414426462	The Residents	This is a Man's Man's Man's World	799575	Pierre-Laurent Aimard	Traditional : Yangisa	17696389	Luciano Berio	Visage
858671	Jaco Pastorius	Come On, Come Over	1685672	Students' Orchestra Of The Moscow Conservatory	Liadov: Baba-Yaga	12677533	Men From The Niutao Community	Aliamu Ma Ana Mea Tufuga (Aliamu and His Tools)	81882102	Mark Guiliana	A Quote Machine
5593819	Dayton	Krackity-Krack (Remastered)	130379666	Deru	Echoes of Me	92487480	Jakob Dietrich	Zäuerli with Schelleschötte (Ringing the Cow Bells)	115068454	Ikuta Ryu	Kojo No Tsuki
83947151	Totó La Momposina	Chí Chí Maní	17524173	Aka Moon	For drummers only	95108184	Philippe Jaroussky	Varèse: Un grand sommeil noir	76985342	Goldie	Vanilla
3124340	Peggy Lee	Fever	2457779	Primus	Tommy The Cat (Album Version)	132493432	Theo Bleckmann	Late Green	123672654	Bob Log III	Guitar Party Power
10686128	Sade	Hang On to Your Love (Remastered)	5593819	Dayton	Krackity-Krack (Remastered)	3386380	Artemis Quartet	String Quartet No 2: Come un meccanismo di precisione	105522282	Glenn Branca	Symphony #3: 2nd Movement (Excerpt)
564065	Eliane Elias	Oye Como Va	426733542	Jakob Bro	Full Moon Europa	47326511	Arvo Pärt	I. Ludus	130863564	Supersilent	6.5
9996280	Tape Five	A Cool Cat In Town	366003431	Ravi Shankar	Spring	797834	Laurent de Wilde	Jungle Hard Bop	61636056	Panzerballett	Birdland
4311597	Foo Fighters	The Pretender	131545124	Lord Invader	Out the Fire	427341552	New York Philharmonic Orchestra	Symphony No. 9 in D Minor, WAB 109: II. Scherzo. Bewegt, lebhaft. Trio. Schnell (Live)	132082546	Car Bomb	Black Blood
77879660	Santana	Black Magic Woman / Gypsy Queen	80674522	Boban Markovic	Izvorski biseri	6183472	Karlheinz Stockhausen	Gesang Der Juenglinge	64213891	Manu Le Malin	On the Way Home
549957	Earth, Wind & Fire	Let's Groove	3133915	Orchestre National de Barbès	Alaoui (live)	77055099	Matthew Curtis	Kyrie (La Messe de Notre Dame) - Balanced Voices	 	 	 
82241402	Santana	Smooth	351958571	Sélébéyone	Are You in Peace	65802269	Meredith Monk	Dusk	 	 	 
14993990	Gotye	Somebody That I Used To Know	7314318	Le Mystère Des Voix Bulgares	Zableyalo Mi Agantze (Album Version)	121437780	Octurn	Lhasa	 	 	 
69623166	Ayo	Fire	4655700	Don Cherry	Mahakali	73467980	Maalim Abdi	Natamani uwa [ua]	 	 	 
14299589	Coldplay	Paradise	125953469	Slint	Breadcrumb Trail	1735890	Skip James	Devil Got My Woman	 	 	 
1165303	Maroon 5	She Will Be Loved	6615567	Bill Frisell	One of These Days	63419829	Abe Schwartz	Sher Pt.2	 	 	 
73995134	Serge Gainsbourg	La Javanaise	 	 	 	1739106	James Chance & The Contortions	Contort Yourself	 	 	 
2335338	Sandra Nkaké	Happy	 	 	 	10236728	Austin Peralta	Capricornus	 	 	 
125534420	Tiken Jah Fakoly	Ouvrez les frontières	 	 	 	2439463	The Carla Bley Band	Musique Mecanique I	 	 	 
1103106	Amy Winehouse	Back To Black	 	 	 	67121873	Björk	Crystalline (Matthew Herbert Remix)	 	 	 
139917531	Tuxedo	Fux with the Tux	 	 	 	7577270	Vincent Dumestre	Una musiqua	 	 	 
9997018	Queen	Bohemian Rhapsody (Remastered 2011)	 	 	 	12480647	Lightning Bolt	Dracula Mountain	 	 	 
12914358	Seu Jorge	Amiga Da Minha Mulher	 	 	 	9056672	The Adolescents	Kids of the Blackhole	 	 	 
14881299	Jamiroquai	Virtual Insanity	 	 	 	63661146	Tatiana Samouil	Quatuor pour deux violons, alto et violoncelle en ré majeur (CFF 124): Poco lento - Allegro	 	 	 
67238735	Daft Punk	Get Lucky	 	 	 	6374932	Daniel Johnston	I Had Lost My Mind	 	 	 
7045680	The Police	Walking On The Moon	 	 	 	12254142	Joy Division	Atmosphere (2011 Total Version)	 	 	 
10186322	Salif Keita	Yamore (Album Version)	 	 	 	7738509	Georgette plana	La Valse Brune	 	 	 
515895	Habib Koité	Cigarette a Bana	 	 	 	65341068	Krystian Zimerman	La Lugubre Gondola, S.200 no.2	 	 	 
2503274	Supertramp	The Logical Song	 	 	 	516627482	Radio-Symphonieorchester Wien	4 Pezzi (Su una nota sola): IV. —	 	 	 
117581660	Pink Floyd	Comfortably Numb (2011 Remastered Version)	 	 	 	 	 	 	 	 	 
3129748	Massive Attack	Teardrop	 	 	 	 	 	 	 	 	 
7375556	The Black Eyed Peas	Pump It	 	 	 	 	 	 	 	 	 
137740111	LP	Lost on You	 	 	 	 	 	 	 	 	 
120965466	Sugar Bones	Dig Down	 	 	 	 	 	 	 	 	 
78106357	Dirty Loops	Sayonara Love	 	 	 	 	 	 	 	 	 
67370086	Oum	Whowa	 	 	 	 	 	 	 	 	 
72760041	Alpha Blondy	I Wish You Were Here	 	 	 	 	 	 	 	 	 
67368576	Youn Sun Nah	Jockey Full of Bourbon	 	 	 	 	 	 	 	 	 
390514771	Camila Cabello	Havana	 	 	 	 	 	 	 	 	 
128956366	Caro Emerald	Tangled Up	 	 	 	 	 	 	 	 	 
60890205	Gloria Gaynor	Can't Take My Eyes Off of You (Radio Edit)	 	 	 	 	 	 	 	 	 
395143972	Oliver Koletzki	No Man No Cry (Jimmy Sax Version)	 	 	 	 	 	 	 	 	 
877666	Stan Getz	Corcovado (Quiet Nights Of Quiet Stars)	 	 	 	 	 	 	 	 	 
455225282	Juliette Armanet	L’amour en Solitaire	 	 	 	 	 	 	 	 	 
876457	Urban Species	Blanket (Album Version)	 	 	 	 	 	 	 	 	 
71927345	Ibrahim Maalouf	True Sorry	 	 	 	 	 	 	 	 	 
95495396	Broken string	Roly Gentle	 	 	 	 	 	 	 	 	 
2566320	Mugar	Iouachou?	 	 	 	 	 	 	 	 	 
508126632	Baden Powell	Samba Em Preludio	 	 	 	 	 	 	 	 	 
13241536	Vanessa Rubin	Morning	 	 	 	 	 	 	 	 	 
16713095	Stacey Kent	Jardin d'hiver (Live)	 	 	 	 	 	 	 	 	 
2446227	Sting	La Belle Dame Sans Regrets	 	 	 	 	 	 	 	 	 
1103108	Amy Winehouse	Tears Dry On Their Own	 	 	 	 	 	 	 	 	 
981991	Diana Krall	Popsicle Toes (Album Version)	 	 	 	 	 	 	 	 	 
464373932	Hugh Coltman	Civvy Street	 	 	 	 	 	 	 	 	 
143481988	Aretha Franklin	Today I Sing the Blues	 	 	 	 	 	 	 	 	 
3050889	Tania Maria	Come With Me	 	 	 	 	 	 	 	 	 
380918141	Anaïs	My Mind Goes Blank	 	 	 	 	 	 	 	 	 
5621085	Michael Franks	Popsicle Toes	 	 	 	 	 	 	 	 	 
546260072	Dhafer Youssef	Dance Layan Dance	 	 	 	 	 	 	 	 	 
75678613	Avishai Cohen	Nu Nu	 	 	 	 	 	 	 	 	 
554924172	Vulfpeck	Darwin Derby	 	 	 	 	 	 	 	 	 
97150840	Roberto Fonseca	Sowa (Live)	 	 	 	 	 	 	 	 	 
